Training Data %,Epochs,Pseudo-Thresh,Y-Thresh,Average,STD
0.02,10,0.8,0.3,0.741343,0.097011
0.02,20,0.8,0.3,0.808955,0.054284
0.02,40,0.8,0.3,0.811599,0.026840
0.02,10,0.8,0.5,0.774977,0.073159
0.02,20,0.8,0.5,0.791458,0.040224
0.02,40,0.8,0.5,0.787754,0.049219
0.02,10,0.8,0.7,0.798961,0.023300
0.02,20,0.8,0.7,0.789819,0.056791
0.02,40,0.8,0.7,0.778628,0.120286
0.02,10,0.8325,0.3,0.794283,0.047287
0.02,20,0.8325,0.3,0.774795,0.108755
0.02,40,0.8325,0.3,0.793862,0.079184
0.02,10,0.8325,0.5,0.794401,0.047344
0.02,20,0.8325,0.5,0.797563,0.079390
0.02,40,0.8325,0.5,0.811347,0.062123
0.02,10,0.8325,0.7,0.793640,0.047264
0.02,20,0.8325,0.7,0.814973,0.037162
0.02,40,0.8325,0.7,0.812422,0.043030
0.02,10,0.875,0.3,0.761844,0.039442
0.02,20,0.875,0.3,0.779285,0.048204
0.02,40,0.875,0.3,0.821747,0.049888
0.02,10,0.875,0.5,0.729072,0.105709
0.02,20,0.875,0.5,0.787521,0.045009
0.02,40,0.875,0.5,0.792090,0.073942
0.02,10,0.875,0.7,0.770238,0.066935
0.02,20,0.875,0.7,0.782726,0.047819
0.02,40,0.875,0.7,0.797052,0.067442
0.02,10,0.9075,0.3,0.773178,0.053696
0.02,20,0.9075,0.3,0.796169,0.049883
0.02,40,0.9075,0.3,0.795379,0.048870
0.02,10,0.9075,0.5,0.763052,0.080677
0.02,20,0.9075,0.5,0.784245,0.071917
0.02,40,0.9075,0.5,0.809327,0.058512
0.02,10,0.9075,0.7,0.779067,0.050310
0.02,20,0.9075,0.7,0.783496,0.047856
0.02,40,0.9075,0.7,0.796707,0.066398
0.02,10,0.95,0.3,0.774105,0.044565
0.02,20,0.95,0.3,0.803384,0.054373
0.02,40,0.95,0.3,0.806402,0.061478
0.02,10,0.95,0.5,0.772579,0.085102
0.02,20,0.95,0.5,0.785885,0.050667
0.02,40,0.95,0.5,0.797757,0.051111
0.02,10,0.95,0.7,0.772552,0.085080
0.02,20,0.95,0.7,0.800644,0.036232
0.02,40,0.95,0.7,0.797577,0.064630
0.03,10,0.8,0.3,0.786799,0.024202
0.03,20,0.8,0.3,0.798658,0.027219
0.03,40,0.8,0.3,0.833452,0.041463
0.03,10,0.8,0.5,0.786592,0.024916
0.03,20,0.8,0.5,0.807458,0.038879
0.03,40,0.8,0.5,0.827308,0.027988
0.03,10,0.8,0.7,0.782562,0.022196
0.03,20,0.8,0.7,0.809175,0.035359
0.03,40,0.8,0.7,0.825052,0.024093
0.03,10,0.8325,0.3,0.806339,0.033095
0.03,20,0.8325,0.3,0.798405,0.026355
0.03,40,0.8325,0.3,0.808137,0.044562
0.03,10,0.8325,0.5,0.805595,0.043474
0.03,20,0.8325,0.5,0.797378,0.041151
0.03,40,0.8325,0.5,0.804619,0.030597
